Titulo;Temporada;Estudios;Temas;Generos;Estreia;Transmissão;Nota;Qntd Avaliações;Faixa-etaria;Qntd de Membros;Favoritado por;Produtores;Distribuidores
"Dekiru Neko wa Kyou mo Yuuutsu";"summer";"GoHands";"Adult Cast|Anthropomorphic";"Comedy|Supernatural";"08/07/2023";"Saturdays at 02:23 (JST)";"7.66";"40.627";"PG-13 - Teens 13 or older";"103.888";"666";"Frontier Works|Mainichi Broadcasting System|Kodansha|Movic|Hakuhodo DY Music & Pictures|DMM.com";"N/A"
"Helck";"summer";"Satelight";"N/A";"Action|Fantasy";"12/07/2023";"Wednesdays at 01:29 (JST)";"7.28";"37.320";"PG-13 - Teens 13 or older";"95.740";"303";"Shogakukan-Shueisha Productions|Nippon Television Network|Shogakukan|BS NTV|Mixer|NetEase|Miki Production";"Sentai Filmworks"
"Jujutsu Kaisen 2nd Season";"summer";"MAPPA";"Gore|School";"Action|Fantasy";"06/07/2023";"Thursdays at 23:56 (JST)";"8.81";"540.506";"R - 17+ (violence & profanity)";"996.894";"22.371";"Mainichi Broadcasting System|TOHO animation|Shueisha|dugout|Sumzap";"N/A"
"Mushoku Tensei II: Isekai Ittara Honki Dasu";"summer";"Studio Bind";"Isekai|Reincarnation";"Adventure|Drama|Fantasy|Ecchi";"10/07/2023";"Mondays at 00:00 (JST)";"8.25";"326.026";"R - 17+ (violence & profanity)";"580.654";"7.105";"Frontier Works|TOHO|TOHO animation|Hakuhodo DY Music & Pictures|BS11|Egg Firm|Kadokawa|GREE Entertainment";"N/A"
"Zom 100: Zombie ni Naru made ni Shitai 100 no Koto";"summer";"BUG FILMS";"Adult Cast|Survival";"Action|Comedy|Horror|Supernatural|Suspense";"09/07/2023";"Sundays at 17:00 (JST)";"7.79";"250.391";"R - 17+ (violence & profanity)";"546.830";"3.966";"Shogakukan-Shueisha Productions|Shogakukan|dugout";"VIZ Media"
"Horimiya: Piece";"summer";"CloverWorks";"School";"Romance";"01/07/2023";"Saturdays at 23:30 (JST)";"8.18";"143.507";"PG-13 - Teens 13 or older";"334.488";"2.697";"Aniplex|Square Enix|Mainichi Broadcasting System|Movic|Kanetsu Investment|Global Solutions|Mirai-Kojo";"N/A"
"Bleach: Sennen Kessen-hen - Ketsubetsu-tan";"summer";"Pierrot";"N/A";"Action|Adventure|Fantasy";"08/07/2023";"Saturdays at 23:00 (JST)";"8.69";"153.273";"R - 17+ (violence & profanity)";"287.103";"4.304";"TV Tokyo|Aniplex|Dentsu|Shueisha|Zack Promotion";"VIZ Media"
"Watashi no Shiawase na Kekkon";"summer";"Kinema Citrus";"Adult Cast|Historical";"Drama|Fantasy|Romance";"05/07/2023";"Wednesdays at 23:30 (JST)";"7.74";"142.361";"PG-13 - Teens 13 or older";"286.963";"2.842";"Square Enix|Glovision|Toy's Factory|Miracle Bus|Kadokawa|Bandai Namco Music Live";"N/A"
"Masamune-kun no Revenge R";"summer";"SILVER LINK.";"Harem|School";"Comedy|Romance";"03/07/2023";"Mondays at 21:00 (JST)";"7.23";"77.497";"PG-13 - Teens 13 or older";"206.722";"1.308";"Lantis|AT-X|KlockWorx|BS Fuji|Tokyo MX|Crunchyroll|Ichijinsha|FuRyu|Lawson Entertainment|Bandai Namco Music Live";"N/A"
"Suki na Ko ga Megane wo Wasureta";"summer";"GoHands";"Romantic Subtext|School";"Comedy";"04/07/2023";"Tuesdays at 23:00 (JST)";"7.13";"74.000";"PG-13 - Teens 13 or older";"193.737";"1.420";"Square Enix|Shochiku|flying DOG|Tokyo MX|Glovision|Hakuhodo DY Music & Pictures|U-NEXT|FuRyu|BS Asahi";"N/A"
"Bungou Stray Dogs 5th Season";"summer";"Bones";"Adult Cast|Detective|Organized Crime|Super Power|Vampire";"Action|Mystery|Supernatural";"12/07/2023";"Wednesdays at 23:00 (JST)";"8.64";"86.195";"R - 17+ (violence & profanity)";"192.133";"2.366";"WOWOW|Lantis|Movic|Glovision|Crunchyroll|Sunrise Music|Kadokawa|Sony Music Solutions|Bandai Namco Music Live";"N/A"
"Kanojo, Okarishimasu 3rd Season";"summer";"TMS Entertainment";"Adult Cast|Harem";"Comedy|Romance";"08/07/2023";"Saturdays at 01:23 (JST)";"7.05";"76.199";"PG-13 - Teens 13 or older";"174.501";"963";"Mainichi Broadcasting System|Kodansha|DMM.com";"N/A"
"Yumemiru Danshi wa Genjitsushugisha";"summer";"Studio Gokumi|AXsiZ";"School";"Comedy|Romance";"04/07/2023";"Tuesdays at 02:00 (JST)";"6.62";"75.679";"PG-13 - Teens 13 or older";"158.921";"1.003";"Pony Canyon|DAX Production|Hobby Japan|BS NTV|MAGNET";"Sentai Filmworks"
"Jitsu wa Ore, Saikyou deshita?";"summer";"Staple Entertainment";"Isekai|Reincarnation";"Adventure|Fantasy";"02/07/2023";"Sundays at 02:00 (JST)";"6.49";"77.904";"PG-13 - Teens 13 or older";"157.490";"546";"Kodansha|DAX Production|Avex Pictures|Crunchyroll|ABC Animation|MAGNET|ADK Marketing Solutions";"N/A"
"Nanatsu no Maken ga Shihai suru";"summer";"J.C.Staff";"School";"Action|Fantasy";"08/07/2023";"Saturdays at 00:30 (JST)";"6.56";"58.303";"PG-13 - Teens 13 or older";"150.748";"778";"Sotsu|Lantis|Movic|Magic Capsule|Warner Bros. Japan|KlockWorx|Tokyo MX|BS11|Konami Digital Entertainment|Kadokawa|Bandai Namco Music Live";"N/A"
"Undead Girl Murder Farce";"summer";"Lapin Track";"Adult Cast|Detective|Historical|Vampire";"Fantasy|Mystery";"06/07/2023";"Thursdays at 00:55 (JST)";"7.88";"63.191";"R - 17+ (violence & profanity)";"149.369";"790";"Dentsu|Kodansha|Fuji TV|KlockWorx|BS Fuji|Crunchyroll|Tohan Corporation|NetEase";"N/A"
"Liar Liar";"summer";"Geek Toys";"Psychological|School|Strategy Game";"Suspense";"08/07/2023";"Saturdays at 22:30 (JST)";"6.31";"56.920";"PG-13 - Teens 13 or older";"147.167";"690";"Shochiku|Tokyo MX|CyberAgent|Kadokawa|BS Asahi|Bushiroad Move|Geek Pictures|qooop";"N/A"
"Dark Gathering";"summer";"OLM";"Gore";"Horror|Supernatural";"10/07/2023";"Mondays at 01:05 (JST)";"7.84";"43.242";"R - 17+ (violence & profanity)";"139.849";"1.045";"Sotsu|Pony Canyon|Kansai Telecasting|NetEase|BS Asahi|CHOCOLATE";"Sentai Filmworks"
"Hataraku Maou-sama!! 2nd Season";"summer";"Studio 3Hz";"Mythology|Workplace";"Comedy|Fantasy";"13/07/2023";"Thursdays at 23:30 (JST)";"6.66";"45.147";"PG-13 - Teens 13 or older";"139.064";"326";"Sotsu|Lantis|Movic|KlockWorx|Tokyo MX|Hakuhodo DY Music & Pictures|BS11|Kadokawa|Bandai Namco Music Live|Happinet Phantom Studios";"N/A"
"Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou";"summer";"Studio Gokumi|AXsiZ";"Isekai|Reincarnation";"Comedy|Fantasy";"05/07/2023";"Wednesdays at 22:00 (JST)";"6.49";"66.263";"PG-13 - Teens 13 or older";"135.122";"350";"VAP|Slow Curve|Nippon Television Network|Nippon Television Music|Yomiuri TV Enterprise|BS NTV|NetEase|NTV Wands";"N/A"
"Rurouni Kenshin: Meiji Kenkaku Romantan (2023)";"summer";"LIDENFILMS";"Historical|Samurai";"Action";"07/07/2023";"Fridays at 00:55 (JST)";"7.6";"40.137";"PG-13 - Teens 13 or older";"118.626";"747";"Aniplex|Dentsu|Animax|Fuji TV|Shueisha";"Aniplex of America"
"Eiyuu Kyoushitsu";"summer";"Actas";"Harem|School";"Action|Fantasy|Ecchi";"09/07/2023";"Sundays at 23:00 (JST)";"6.06";"43.957";"PG-13 - Teens 13 or older";"115.586";"473";"Square Enix|Lantis|Movic|Shueisha|Jinnan Studio|Tencent Japan|Bandai Namco Filmworks|Bandai Namco Music Live";"Crunchyroll"
"Level 1 dakedo Unique Skill de Saikyou desu";"summer";"Maho Film";"Harem|Isekai|Reincarnation";"Fantasy";"08/07/2023";"Saturdays at 22:00 (JST)";"6.23";"56.406";"PG-13 - Teens 13 or older";"115.165";"297";"Kodansha|Tokyo MX|Amusement Media Academy|Crunchyroll|Production Ace|BS NTV|Kappa Entertainment";"N/A"
"Uchi no Kaisha no Chiisai Senpai no Hanashi";"summer";"Project No.9";"Adult Cast|Workplace";"Comedy|Romance";"02/07/2023";"Sundays at 01:30 (JST)";"6.9";"40.801";"PG-13 - Teens 13 or older";"109.278";"425";"TV Asahi|Takeshobo|Nagoya Broadcasting Network|Universal Music Japan|DMM.com|Kadokawa Media House|DMM pictures|My Theater D.D.|Good Smile Film|Bit grooove promotion|TV Asahi Music|Vobile Japan";"N/A"
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi";"summer";"Yokohama Animation Laboratory|Cloud Hearts";"Isekai|Reincarnation";"Comedy|Fantasy";"07/07/2023";"Fridays at 01:28 (JST)";"7.11";"58.489";"PG-13 - Teens 13 or older";"108.459";"332";"TBS|Kodansha|NBCUniversal Entertainment Japan|BS11|Crunchyroll|Nichion|Micro Magazine Publishing|MAGNET";"N/A"
"Dekiru Neko wa Kyou mo Yuuutsu";"summer";"GoHands";"Adult Cast|Anthropomorphic";"Comedy|Supernatural";"08/07/2023";"Saturdays at 02:23 (JST)";"7.66";"40.627";"PG-13 - Teens 13 or older";"103.888";"666";"Frontier Works|Mainichi Broadcasting System|Kodansha|Movic|Hakuhodo DY Music & Pictures|DMM.com";"N/A"
"Helck";"summer";"Satelight";"N/A";"Action|Fantasy";"12/07/2023";"Wednesdays at 01:29 (JST)";"7.28";"37.320";"PG-13 - Teens 13 or older";"95.740";"303";"Shogakukan-Shueisha Productions|Nippon Television Network|Shogakukan|BS NTV|Mixer|NetEase|Miki Production";"Sentai Filmworks"
"Jujutsu Kaisen 2nd Season";"summer";"MAPPA";"Gore|School";"Action|Fantasy";"06/07/2023";"Thursdays at 23:56 (JST)";"8.81";"540.506";"R - 17+ (violence & profanity)";"996.894";"22.371";"Mainichi Broadcasting System|TOHO animation|Shueisha|dugout|Sumzap";"N/A"
"Mushoku Tensei II: Isekai Ittara Honki Dasu";"summer";"Studio Bind";"Isekai|Reincarnation";"Adventure|Drama|Fantasy|Ecchi";"10/07/2023";"Mondays at 00:00 (JST)";"8.25";"326.026";"R - 17+ (violence & profanity)";"580.654";"7.105";"Frontier Works|TOHO|TOHO animation|Hakuhodo DY Music & Pictures|BS11|Egg Firm|Kadokawa|GREE Entertainment";"N/A"
"Zom 100: Zombie ni Naru made ni Shitai 100 no Koto";"summer";"BUG FILMS";"Adult Cast|Survival";"Action|Comedy|Horror|Supernatural|Suspense";"09/07/2023";"Sundays at 17:00 (JST)";"7.79";"250.391";"R - 17+ (violence & profanity)";"546.830";"3.966";"Shogakukan-Shueisha Productions|Shogakukan|dugout";"VIZ Media"
"Horimiya: Piece";"summer";"CloverWorks";"School";"Romance";"01/07/2023";"Saturdays at 23:30 (JST)";"8.18";"143.507";"PG-13 - Teens 13 or older";"334.488";"2.697";"Aniplex|Square Enix|Mainichi Broadcasting System|Movic|Kanetsu Investment|Global Solutions|Mirai-Kojo";"N/A"
"Bleach: Sennen Kessen-hen - Ketsubetsu-tan";"summer";"Pierrot";"N/A";"Action|Adventure|Fantasy";"08/07/2023";"Saturdays at 23:00 (JST)";"8.69";"153.273";"R - 17+ (violence & profanity)";"287.103";"4.304";"TV Tokyo|Aniplex|Dentsu|Shueisha|Zack Promotion";"VIZ Media"
"Watashi no Shiawase na Kekkon";"summer";"Kinema Citrus";"Adult Cast|Historical";"Drama|Fantasy|Romance";"05/07/2023";"Wednesdays at 23:30 (JST)";"7.74";"142.361";"PG-13 - Teens 13 or older";"286.963";"2.842";"Square Enix|Glovision|Toy's Factory|Miracle Bus|Kadokawa|Bandai Namco Music Live";"N/A"
"Masamune-kun no Revenge R";"summer";"SILVER LINK.";"Harem|School";"Comedy|Romance";"03/07/2023";"Mondays at 21:00 (JST)";"7.23";"77.497";"PG-13 - Teens 13 or older";"206.722";"1.308";"Lantis|AT-X|KlockWorx|BS Fuji|Tokyo MX|Crunchyroll|Ichijinsha|FuRyu|Lawson Entertainment|Bandai Namco Music Live";"N/A"
"Suki na Ko ga Megane wo Wasureta";"summer";"GoHands";"Romantic Subtext|School";"Comedy";"04/07/2023";"Tuesdays at 23:00 (JST)";"7.13";"74.000";"PG-13 - Teens 13 or older";"193.737";"1.420";"Square Enix|Shochiku|flying DOG|Tokyo MX|Glovision|Hakuhodo DY Music & Pictures|U-NEXT|FuRyu|BS Asahi";"N/A"
"Bungou Stray Dogs 5th Season";"summer";"Bones";"Adult Cast|Detective|Organized Crime|Super Power|Vampire";"Action|Mystery|Supernatural";"12/07/2023";"Wednesdays at 23:00 (JST)";"8.64";"86.195";"R - 17+ (violence & profanity)";"192.133";"2.366";"WOWOW|Lantis|Movic|Glovision|Crunchyroll|Sunrise Music|Kadokawa|Sony Music Solutions|Bandai Namco Music Live";"N/A"
"Kanojo, Okarishimasu 3rd Season";"summer";"TMS Entertainment";"Adult Cast|Harem";"Comedy|Romance";"08/07/2023";"Saturdays at 01:23 (JST)";"7.05";"76.199";"PG-13 - Teens 13 or older";"174.501";"963";"Mainichi Broadcasting System|Kodansha|DMM.com";"N/A"
"Yumemiru Danshi wa Genjitsushugisha";"summer";"Studio Gokumi|AXsiZ";"School";"Comedy|Romance";"04/07/2023";"Tuesdays at 02:00 (JST)";"6.62";"75.679";"PG-13 - Teens 13 or older";"158.921";"1.003";"Pony Canyon|DAX Production|Hobby Japan|BS NTV|MAGNET";"Sentai Filmworks"
"Jitsu wa Ore, Saikyou deshita?";"summer";"Staple Entertainment";"Isekai|Reincarnation";"Adventure|Fantasy";"02/07/2023";"Sundays at 02:00 (JST)";"6.49";"77.904";"PG-13 - Teens 13 or older";"157.490";"546";"Kodansha|DAX Production|Avex Pictures|Crunchyroll|ABC Animation|MAGNET|ADK Marketing Solutions";"N/A"
"Nanatsu no Maken ga Shihai suru";"summer";"J.C.Staff";"School";"Action|Fantasy";"08/07/2023";"Saturdays at 00:30 (JST)";"6.56";"58.303";"PG-13 - Teens 13 or older";"150.748";"778";"Sotsu|Lantis|Movic|Magic Capsule|Warner Bros. Japan|KlockWorx|Tokyo MX|BS11|Konami Digital Entertainment|Kadokawa|Bandai Namco Music Live";"N/A"
"Undead Girl Murder Farce";"summer";"Lapin Track";"Adult Cast|Detective|Historical|Vampire";"Fantasy|Mystery";"06/07/2023";"Thursdays at 00:55 (JST)";"7.88";"63.191";"R - 17+ (violence & profanity)";"149.369";"790";"Dentsu|Kodansha|Fuji TV|KlockWorx|BS Fuji|Crunchyroll|Tohan Corporation|NetEase";"N/A"
"Liar Liar";"summer";"Geek Toys";"Psychological|School|Strategy Game";"Suspense";"08/07/2023";"Saturdays at 22:30 (JST)";"6.31";"56.920";"PG-13 - Teens 13 or older";"147.167";"690";"Shochiku|Tokyo MX|CyberAgent|Kadokawa|BS Asahi|Bushiroad Move|Geek Pictures|qooop";"N/A"
"Dark Gathering";"summer";"OLM";"Gore";"Horror|Supernatural";"10/07/2023";"Mondays at 01:05 (JST)";"7.84";"43.242";"R - 17+ (violence & profanity)";"139.849";"1.045";"Sotsu|Pony Canyon|Kansai Telecasting|NetEase|BS Asahi|CHOCOLATE";"Sentai Filmworks"
"Hataraku Maou-sama!! 2nd Season";"summer";"Studio 3Hz";"Mythology|Workplace";"Comedy|Fantasy";"13/07/2023";"Thursdays at 23:30 (JST)";"6.66";"45.147";"PG-13 - Teens 13 or older";"139.064";"326";"Sotsu|Lantis|Movic|KlockWorx|Tokyo MX|Hakuhodo DY Music & Pictures|BS11|Kadokawa|Bandai Namco Music Live|Happinet Phantom Studios";"N/A"
"Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou";"summer";"Studio Gokumi|AXsiZ";"Isekai|Reincarnation";"Comedy|Fantasy";"05/07/2023";"Wednesdays at 22:00 (JST)";"6.49";"66.263";"PG-13 - Teens 13 or older";"135.122";"350";"VAP|Slow Curve|Nippon Television Network|Nippon Television Music|Yomiuri TV Enterprise|BS NTV|NetEase|NTV Wands";"N/A"
"Rurouni Kenshin: Meiji Kenkaku Romantan (2023)";"summer";"LIDENFILMS";"Historical|Samurai";"Action";"07/07/2023";"Fridays at 00:55 (JST)";"7.6";"40.137";"PG-13 - Teens 13 or older";"118.626";"747";"Aniplex|Dentsu|Animax|Fuji TV|Shueisha";"Aniplex of America"
"Eiyuu Kyoushitsu";"summer";"Actas";"Harem|School";"Action|Fantasy|Ecchi";"09/07/2023";"Sundays at 23:00 (JST)";"6.06";"43.957";"PG-13 - Teens 13 or older";"115.586";"473";"Square Enix|Lantis|Movic|Shueisha|Jinnan Studio|Tencent Japan|Bandai Namco Filmworks|Bandai Namco Music Live";"Crunchyroll"
"Level 1 dakedo Unique Skill de Saikyou desu";"summer";"Maho Film";"Harem|Isekai|Reincarnation";"Fantasy";"08/07/2023";"Saturdays at 22:00 (JST)";"6.23";"56.406";"PG-13 - Teens 13 or older";"115.165";"297";"Kodansha|Tokyo MX|Amusement Media Academy|Crunchyroll|Production Ace|BS NTV|Kappa Entertainment";"N/A"
"Uchi no Kaisha no Chiisai Senpai no Hanashi";"summer";"Project No.9";"Adult Cast|Workplace";"Comedy|Romance";"02/07/2023";"Sundays at 01:30 (JST)";"6.9";"40.801";"PG-13 - Teens 13 or older";"109.278";"425";"TV Asahi|Takeshobo|Nagoya Broadcasting Network|Universal Music Japan|DMM.com|Kadokawa Media House|DMM pictures|My Theater D.D.|Good Smile Film|Bit grooove promotion|TV Asahi Music|Vobile Japan";"N/A"
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi";"summer";"Yokohama Animation Laboratory|Cloud Hearts";"Isekai|Reincarnation";"Comedy|Fantasy";"07/07/2023";"Fridays at 01:28 (JST)";"7.11";"58.489";"PG-13 - Teens 13 or older";"108.459";"332";"TBS|Kodansha|NBCUniversal Entertainment Japan|BS11|Crunchyroll|Nichion|Micro Magazine Publishing|MAGNET";"N/A"
"Dekiru Neko wa Kyou mo Yuuutsu";"summer";"GoHands";"Adult Cast|Anthropomorphic";"Comedy|Supernatural";"08/07/2023";"Saturdays at 02:23 (JST)";"7.66";"40.627";"PG-13 - Teens 13 or older";"103.888";"666";"Frontier Works|Mainichi Broadcasting System|Kodansha|Movic|Hakuhodo DY Music & Pictures|DMM.com";"N/A"
"Helck";"summer";"Satelight";"N/A";"Action|Fantasy";"12/07/2023";"Wednesdays at 01:29 (JST)";"7.28";"37.320";"PG-13 - Teens 13 or older";"95.740";"303";"Shogakukan-Shueisha Productions|Nippon Television Network|Shogakukan|BS NTV|Mixer|NetEase|Miki Production";"Sentai Filmworks"
"Sousou no Frieren";"fall";"Madhouse";"N/A";"Adventure|Drama|Fantasy";"29/09/2023";"Fridays at 23:00 (JST)";"9.34";"466.592";"PG-13 - Teens 13 or older";"825.955";"48.442";"Aniplex|Dentsu|Shogakukan-Shueisha Productions|Nippon Television Network|TOHO animation|Shogakukan";"N/A"
"Spy x Family Season 2";"fall";"Wit Studio|CloverWorks";"Childcare";"Action|Comedy";"07/10/2023";"Saturdays at 23:00 (JST)";"8.07";"221.313";"PG-13 - Teens 13 or older";"502.047";"3.454";"TV Tokyo|Shogakukan-Shueisha Productions|TOHO animation|Shueisha|Studio Easter";"N/A"
"Kusuriya no Hitorigoto";"fall";"OLM|TOHO animation STUDIO";"Historical|Medical";"Drama|Mystery";"22/10/2023";"Sundays at 01:05 (JST)";"8.9";"223.869";"PG-13 - Teens 13 or older";"442.271";"12.238";"Dentsu|Square Enix|Nippon Television Network|TOHO animation|Shogakukan|Imagica Infos";"N/A"
"Tate no Yuusha no Nariagari Season 3";"fall";"Kinema Citrus";"Isekai";"Action|Adventure|Drama|Fantasy";"06/10/2023";"Fridays at 21:00 (JST)";"7.11";"110.011";"PG-13 - Teens 13 or older";"436.571";"6.128";"Frontier Works|AT-X|Nippon Columbia|NTT Docomo|Glovision|Good Smile Company|Sammy|Crunchyroll|Kadokawa";"N/A"
"Kage no Jitsuryokusha ni Naritakute! 2nd Season";"fall";"Nexus";"Isekai|Reincarnation";"Action|Comedy|Fantasy";"04/10/2023";"Wednesdays at 22:30 (JST)";"8.35";"202.615";"R - 17+ (violence & profanity)";"376.175";"4.523";"AT-X|Magic Capsule|BS NTV|Kadokawa|NewGin|Aiming";"Sentai Filmworks"
"Goblin Slayer II";"fall";"LIDENFILMS";"Gore";"Action|Adventure|Fantasy";"06/10/2023";"Fridays at 22:00 (JST)";"7.21";"113.763";"R - 17+ (violence & profanity)";"348.816";"3.195";"Sony Pictures Entertainment|Frontier Works|AT-X|Bushiroad|Hakuhodo DY Music & Pictures|Good Smile Film|SB Creative";"Crunchyroll"
"Dr. Stone: New World Part 2";"fall";"TMS Entertainment";"N/A";"Adventure|Comedy|Sci-Fi";"12/10/2023";"Thursdays at 22:30 (JST)";"8.33";"143.173";"PG-13 - Teens 13 or older";"288.266";"1.362";"TOHO animation|Shueisha";"N/A"
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su";"fall";"C2C";"Video Game";"Action|Adventure|Fantasy";"01/10/2023";"Sundays at 17:00 (JST)";"8.08";"139.284";"PG-13 - Teens 13 or older";"284.635";"2.189";"Dentsu|Mainichi Broadcasting System|Kodansha|flying DOG|Sammy|Crunchyroll|Tencent Japan|Netmarble";"N/A"
"Undead Unluck";"fall";"David Production";"Super Power";"Action|Comedy|Fantasy";"07/10/2023";"Saturdays at 01:23 (JST)";"7.78";"88.042";"R - 17+ (violence & profanity)";"263.928";"1.527";"TMS Entertainment|Mainichi Broadcasting System|Magic Capsule|Shueisha";"N/A"
"Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo";"fall";"Bibury Animation Studios";"Harem|Parody|School";"Comedy|Romance";"08/10/2023";"Sundays at 22:30 (JST)";"7.77";"113.014";"PG-13 - Teens 13 or older";"224.064";"2.290";"Lantis|Movic|Bushiroad|Tokyo MX|Shueisha|NetEase|Bushiroad Move|Bandai Namco Filmworks|Bandai Namco Music Live";"N/A"
"Tokyo Revengers: Tenjiku-hen";"fall";"LIDENFILMS";"Delinquents|Time Travel";"Action|Drama|Supernatural";"04/10/2023";"Wednesdays at 00:00 (JST)";"7.84";"83.101";"R - 17+ (violence & profanity)";"195.236";"1.411";"Mainichi Broadcasting System|Pony Canyon|Kodansha|AT-X|Ultra Super Pictures|Studio Mausu|Sammy";"N/A"
"Ragna Crimson";"fall";"SILVER LINK.";"N/A";"Action|Fantasy";"01/10/2023";"Sundays at 01:30 (JST)";"7.54";"68.347";"R - 17+ (violence & profanity)";"189.628";"1.203";"Square Enix|Mainichi Broadcasting System|Movic|King Records|BS11|NewGin|GREE Entertainment";"Sentai Filmworks"
"Hametsu no Oukoku";"fall";"Yokohama Animation Laboratory";"Gore";"Action|Drama|Fantasy|Sci-Fi";"07/10/2023";"Saturdays at 01:53 (JST)";"6.23";"71.624";"R - 17+ (violence & profanity)";"180.351";"921";"Mainichi Broadcasting System|Nikkatsu|Mag Garden|RAY|Nichion|arma bianca|NetEase|CTW";"N/A"
"Boushoku no Berserk";"fall";"A.C.G.T.";"N/A";"Action|Fantasy";"05/10/2023";"Thursdays at 01:30 (JST)";"6.72";"87.257";"R - 17+ (violence & profanity)";"172.257";"805";"Genco|Pony Canyon|BS11|Crunchyroll|U-NEXT|Muse Communication|Micro Magazine Publishing|HIAN";"N/A"
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.";"fall";"ENGI";"School";"Romance";"06/10/2023";"Fridays at 22:30 (JST)";"6.74";"72.872";"PG-13 - Teens 13 or older";"170.725";"1.420";"Pony Canyon|AT-X|Glovision|Docomo Anime Store|Sammy|Sun TV|Kadokawa";"N/A"
"Seiken Gakuin no Makentsukai";"fall";"Passione";"Harem|Reincarnation|School";"Action|Fantasy";"03/10/2023";"Tuesdays at 01:30 (JST)";"6.2";"53.761";"R - 17+ (violence & profanity)";"132.698";"838";"MediaNet|Nippon Columbia|KlockWorx|BS Fuji|NBCUniversal Entertainment Japan|Kadokawa|CTW|Plus Seven";"Sentai Filmworks"
"Kamonohashi Ron no Kindan Suiri";"fall";"Diomedéa";"Adult Cast|Detective";"Comedy|Mystery";"02/10/2023";"Mondays at 22:30 (JST)";"7.47";"42.211";"PG-13 - Teens 13 or older";"125.651";"866";"Movic|AT-X|Shueisha|Toy's Factory|Kadokawa|Bit grooove promotion";"N/A"
"Kikansha no Mahou wa Tokubetsu desu";"fall";"Arvo Animation";"School|Time Travel";"Action|Fantasy";"08/10/2023";"Sundays at 00:00 (JST)";"7.07";"62.415";"PG-13 - Teens 13 or older";"124.166";"416";"Aniplex|Magic Capsule|Crunchyroll|D&C WEBTOON Biz|Kakao piccoma";"N/A"
"Saihate no Paladin: Tetsusabi no Yama no Ou";"fall";"OLM|Sunrise Beyond";"Isekai|Reincarnation";"Action|Adventure|Fantasy";"07/10/2023";"Saturdays at 22:00 (JST)";"7.43";"37.979";"PG-13 - Teens 13 or older";"116.178";"375";"DAX Production|Docomo Anime Store|bilibili|Overlap";"N/A"
"Dead Mount Death Play Part 2";"fall";"Geek Toys";"Reincarnation";"Action|Fantasy|Supernatural";"10/10/2023";"Tuesdays at 00:00 (JST)";"7.47";"48.045";"R - 17+ (violence & profanity)";"111.888";"355";"Square Enix|Movic|Half H.P Studio|F.M.F|King Records|Crunchyroll|Kadokawa Media House|Geek Pictures";"N/A"
"Watashi no Oshi wa Akuyaku Reijou.";"fall";"Platinum Vision";"Isekai|School";"Comedy|Fantasy|Girls Love";"03/10/2023";"Tuesdays at 00:30 (JST)";"7.34";"50.376";"PG-13 - Teens 13 or older";"108.600";"1.034";"Asmik Ace|King Records|Ichijinsha";"N/A"
"Hikikomari Kyuuketsuki no Monmon";"fall";"Project No.9";"Vampire";"Comedy|Fantasy";"07/10/2023";"Saturdays at 22:30 (JST)";"7.17";"39.352";"PG-13 - Teens 13 or older";"103.884";"759";"NBCUniversal Entertainment Japan|Tokyo MX|DMM.com|Kadokawa Media House|BS NTV|Good Smile Film|Bit grooove promotion|SB Creative|Yostar";"Sentai Filmworks"
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu";"fall";"Zero-G|Saber Works";"N/A";"Comedy|Fantasy|Romance";"04/10/2023";"Wednesdays at 22:00 (JST)";"7.17";"40.886";"PG-13 - Teens 13 or older";"103.528";"475";"Pony Canyon|KlockWorx|bilibili|Yomiuri TV Enterprise|Aoni Production|arma bianca|Shufu to Seikatsusha";"N/A"
"Kanojo mo Kanojo Season 2";"fall";"SynergySP";"Harem|School";"Comedy|Romance";"07/10/2023";"Saturdays at 02:23 (JST)";"7.03";"42.170";"PG-13 - Teens 13 or older";"98.730";"393";"Mainichi Broadcasting System|Kodansha|Half H.P Studio|Nikkatsu|Nichion|Myrica Music|NTV Wands";"N/A"
"Mahoutsukai no Yome Season 2 Part 2";"fall";"Studio Kafka";"Mythology|School";"Drama|Fantasy|Romance";"05/10/2023";"Thursdays at 22:00 (JST)";"7.89";"37.074";"PG-13 - Teens 13 or older";"94.006";"277";"flying DOG|bilibili|Mag Garden|Chiptune|Twin Engine";"Crunchyroll"
"Sousou no Frieren";"fall";"Madhouse";"N/A";"Adventure|Drama|Fantasy";"29/09/2023";"Fridays at 23:00 (JST)";"9.34";"466.592";"PG-13 - Teens 13 or older";"825.955";"48.442";"Aniplex|Dentsu|Shogakukan-Shueisha Productions|Nippon Television Network|TOHO animation|Shogakukan";"N/A"
